Lane,Sample,Index
*,Tec_Rev_batch08_GEX,SI-TT-G9
*,Tec_Rev_batch09_GEX,SI-TT-H9
*,Tec_Rev_batch10_GEX,SI-TT-G10
*,MIDAS_2_batch62_GEX,SI-TT-C11
*,Tec_Rev_batch08_VDJ,SI-TT-H10
*,Tec_Rev_batch09_VDJ,SI-TT-A11
*,Tec_Rev_batch10_VDJ,SI-TT-B11
