Lane,Sample,Index
*,MIDAS_2_batch74_GEX,SI-TT-C5
*,MIDAS_2_batch75_GEX,SI-TT-D5
*,MIDAS_2_batch76_GEX,SI-TT-E5
*,MIDAS_2_batch77_GEX,SI-TT-A1
*,MIDAS_2_batch78_GEX,SI-TT-B1
*,MIDAS_2_batch79_GEX,SI-TT-C1
*,MIDAS_2_batch80_GEX,SI-TT-D1
*,MIDAS_2_batch74_VDJ,SI-TT-F5
*,MIDAS_2_batch75_VDJ,SI-TT-G5
*,MIDAS_2_batch76_VDJ,SI-TT-H5
*,MIDAS_2_batch77_VDJ,SI-TT-E1
*,MIDAS_2_batch78_VDJ,SI-TT-F1
*,MIDAS_2_batch79_VDJ,SI-TT-G1
*,MIDAS_2_batch80_VDJ,SI-TT-H1
