Lane,Sample,Index
*,Tec_Rev_batch03_GEX,SI-TT-A9
*,Tec_Rev_batch04_GEX,SI-TT-B9
*,Tec_Rev_batch05_GEX,SI-TT-C9
*,Tec_Rev_batch06_GEX,SI-TT-D9
*,Tec_Rev_batch07_GEX,SI-TT-E9
*,Tec_Rev_batch03_VDJ,SI-TT-A10
*,Tec_Rev_batch04_VDJ,SI-TT-B10
*,Tec_Rev_batch05_VDJ,SI-TT-C10
*,Tec_Rev_batch06_VDJ,SI-TT-D10
*,Tec_Rev_batch07_VDJ,SI-TT-E10
